team,confederation,att,def,rat,log_rat,gdp,log_gdp,pop,log_pop,z_rat,z_gdp,z_pop,rat-gdp,rat-pop,p_rat-gdp,p_rat-pop
Belize,CONCACAF,0.82,1.37,0.598540146,-0.513261679,1693,7.434257382,358899,12.79079629,-0.366561375,-1.217198548,-1.099502389,0.407530999,0.226536902,701.2785572,606.048741
Tahiti,OFC,1.1,1.84,0.597826087,-0.514455392,6578,8.791486027,268270,12.49974922,-0.367402245,-0.646522247,-1.224645463,0.043761523,0.293201244,522.6104891,636.1572197
Guinea-Bissau,CAF,1.03,1.74,0.591954023,-0.524326311,1024,6.931471806,1788000,14.39660823,-0.374355472,-1.428605678,-0.4090428,0.534183864,-0.153707857,755.5937994,427.5781088
Luxembourg,UEFA,1.15,1.94,0.592783505,-0.522926031,62395,11.04124042,562958,13.2409603,-0.373369093,0.299435917,-0.905942949,-0.563799044,0.115318523,232.5195495,554.4657574
Faroe Islands,UEFA,1.03,1.74,0.591954023,-0.524326311,2320,7.749322465,48724,10.793927,-0.374355472,-1.084722582,-1.958107005,0.315487183,0.681894975,658.66058,790.9778086
Guyana,CONCACAF,0.87,1.5,0.58,-0.544727175,2997,8.005367067,746900,13.52368659,-0.388726155,-0.97706306,-0.784377611,0.232649104,0.034386167,618.4712639,516.2870882
St. Kitts and Nevis,CONCACAF,1.07,1.85,0.578378378,-0.547526991,841,6.73459166,55000,10.91508846,-0.390698388,-1.511388217,-1.906010559,0.57048752,0.637449971,770.1198055,775.4857926
Indonesia,AFC,0.92,1.6,0.575,-0.553385238,888648,13.69745649,255461700,19.35858305,-0.394825028,1.416299728,1.72448417,-1.295538244,-1.325053647,46.5987379,57.78602603
Puerto Rico,CONCACAF,1.08,1.95,0.553846154,-0.590868331,103135,11.54379409,3548397,15.08200651,-0.421228697,0.510745535,-0.114338422,-0.746043596,-0.359551777,166.83997,334.688276
Chad,CAF,0.93,1.75,0.531428571,-0.632186481,13947,9.54301971,13606000,16.42602143,-0.450333838,-0.330523565,0.463554894,-0.240133315,-0.700386599,377.8370927,202.766748
Eritrea,CAF,0.98,1.86,0.52688172,-0.640779195,3858,8.257904193,6738000,15.7232737,-0.456386678,-0.870878333,0.161390678,0.097459099,-0.543444727,550.2480773,259.3355758
Singapore,AFC,0.78,1.51,0.516556291,-0.66057101,308051,12.63802063,5469700,15.51473433,-0.470328338,0.970836883,0.071723883,-1.087743983,-0.509017941,79.34283443,272.752352
Dominican Republic,CONCACAF,0.68,1.33,0.511278195,-0.670841423,64077,11.06784076,10652000,16.18125823,-0.477562975,0.310620609,0.358312744,-0.675105968,-0.670845566,190.8395375,212.8136819
Madagascar,CAF,0.95,1.91,0.497382199,-0.698396536,10595,9.268137471,21842167,16.89935293,-0.496973221,-0.446103781,0.66707578,-0.21326804,-0.856810089,391.1380454,154.4464172
Nicaragua,CONCACAF,0.78,1.57,0.496815287,-0.699536979,11707,9.367942232,6134270,15.62940164,-0.497776566,-0.404138698,0.121028003,-0.240759595,-0.563062009,377.5286753,251.8457847
Tajikistan,AFC,0.85,1.76,0.482954545,-0.727832739,9242,9.131513591,8354000,15.93825102,-0.517708536,-0.503550262,0.253825632,-0.197469559,-0.654628243,399.0208434,218.4505774
Liechtenstein,UEFA,0.79,1.72,0.459302326,-0.778046624,5113,8.539541595,37370,10.52862352,-0.553079971,-0.752457763,-2.072180967,-0.07454521,0.56470474,461.5235486,748.7761804
Yemen,AFC,0.7,1.58,0.443037975,-0.814099791,43229,10.67426685,25956000,17.07191335,-0.578476377,0.145133895,0.741272514,-0.670776061,-0.978336764,192.3699654,122.6435139
Grenada,CONCACAF,0.88,2.05,0.429268293,-0.845673165,862,6.759255271,103328,11.54566367,-0.600717148,-1.501017866,-1.634878749,0.353873608,0.281176132,676.7219491,630.7818734
Philippines,AFC,0.85,2.1,0.404761905,-0.904456274,284927,12.55998829,101717000,18.43770501,-0.642124876,0.938026486,1.328529288,-1.238674347,-1.358765821,54.23784474,53.2994314
Bermuda,CONCACAF,0.81,2.07,0.391304348,-0.938269639,5600,8.630521877,64237,11.07033465,-0.665943531,-0.714203124,-1.839258524,-0.211737278,0.32619716,391.8999365,650.7669344
St. Vincent / Grenadines,CONCACAF,0.86,2.22,0.387387387,-0.948330086,736,6.601230119,109000,11.59910316,-0.673030265,-1.567462978,-1.611901086,0.323817077,0.196468306,662.6127217,592.245797
Malaysia,AFC,0.77,1.98,0.388888889,-0.944461609,326933,12.69751054,30637600,17.23773857,-0.67030525,0.995850707,0.812573273,-1.303628744,-1.108626997,45.58570273,93.98539781
